Episode 94, Total Reward: -47.424034504733456, Policy Loss: -18.876197814941406, Alpha Loss: 1.504539248742276e-08
Episode 95, Total Reward: -35.91818751639938, Policy Loss: -18.04363250732422, Alpha Loss: 1.194503695955973e-08
Episode 96, Total Reward: 109.8054501606531, Policy Loss: -20.445384979248047, Alpha Loss: 1.0382777304585034e-08
Episode 97, Total Reward: -17.829190051389258, Policy Loss: -18.244871139526367, Alpha Loss: 8.504223103500408e-09
Episode 98, Total Reward: -35.25266648944949, Policy Loss: -13.144895553588867, Alpha Loss: 7.007196600739007e-09
Episode 99, Total Reward: 208.0624610881739, Policy Loss: -15.632179260253906, Alpha Loss: 6.380740824596387e-09
Episode 100, Total Reward: -11.829699087695445, Policy Loss: -14.734201431274414, Alpha Loss: 5.4449045272519925e-09
Episode 101, Total Reward: -38.33208936048108, Policy Loss: -13.051155090332031, Alpha Loss: 4.66204097548939e-09
Episode 102, Total Reward: 1.433140596363178, Policy Loss: -7.99594783782959, Alpha Loss: 4.02702315938086e-09
Episode 103, Total Reward: 62.44225278757322, Policy Loss: -10.82426929473877, Alpha Loss: 3.532815817663959e-09
Episode 104, Total Reward: 34.42544494649089, Policy Loss: -7.781788349151611, Alpha Loss: 3.1369418174165276e-09
Episode 105, Total Reward: -7.366842237321712, Policy Loss: -12.795148849487305, Alpha Loss: 2.7974009775277864e-09
Episode 106, Total Reward: -40.904794723477174, Policy Loss: -7.653590202331543, Alpha Loss: 2.5192878894131354e-09
Episode 107, Total Reward: -8.539290466391313, Policy Loss: -8.672342300415039, Alpha Loss: 2.2919546260879997e-09
Episode 108, Total Reward: 9.649993961440916, Policy Loss: -5.816320896148682, Alpha Loss: 2.1113926162996677e-09
Episode 109, Total Reward: 22.265640861434072, Policy Loss: -5.3639068603515625, Alpha Loss: 1.9389789773782695e-09
Episode 110, Total Reward: -40.37269837237123, Policy Loss: -6.886611461639404, Alpha Loss: 1.7911077065946301e-09
Episode 111, Total Reward: 33.73992315944604, Policy Loss: -2.0823097229003906, Alpha Loss: 1.6613743714088969e-09
Episode 112, Total Reward: 33.36244342528203, Policy Loss: -3.9840941429138184, Alpha Loss: 1.5612942050324818e-09
Episode 113, Total Reward: 35.141460161868295, Policy Loss: -0.9764788150787354, Alpha Loss: 1.4598873221416397e-09
Episode 114, Total Reward: 54.24148474025039, Policy Loss: -0.7929269671440125, Alpha Loss: 1.3767960105326438e-09
Episode 115, Total Reward: 8.769172850146068, Policy Loss: -1.1325056552886963, Alpha Loss: 1.3030927448198781e-09
Episode 116, Total Reward: -22.95203444548215, Policy Loss: -1.8840479850769043, Alpha Loss: 1.2279499639333835e-09
Episode 117, Total Reward: 11.515879914212881, Policy Loss: -0.4931500554084778, Alpha Loss: 1.1682498302079125e-09
Episode 118, Total Reward: 5.636075688063298, Policy Loss: 2.4044299125671387, Alpha Loss: 1.1112203379681773e-09
Episode 119, Total Reward: 248.20416624613935, Policy Loss: 1.3045153617858887, Alpha Loss: 1.0878677958459093e-09
Episode 120, Total Reward: -59.13576714947766, Policy Loss: 0.47592616081237793, Alpha Loss: 1.0318539356291012e-09
Episode 121, Total Reward: -18.372950773555896, Policy Loss: 1.3841744661331177, Alpha Loss: 9.864759009658997e-10
Episode 122, Total Reward: 24.061242195828566, Policy Loss: -1.5735270977020264, Alpha Loss: 9.483125396059222e-10
Episode 123, Total Reward: 29.184736862684165, Policy Loss: 0.19772973656654358, Alpha Loss: 9.057825045566403e-10
Episode 124, Total Reward: -37.98144590836944, Policy Loss: 0.10181571543216705, Alpha Loss: 8.654105210226248e-10
Episode 125, Total Reward: -87.74478509116499, Policy Loss: 3.614036798477173, Alpha Loss: 8.39451674838898e-10
Episode 126, Total Reward: 3.0531600144695847, Policy Loss: 0.44135528802871704, Alpha Loss: 8.014608421369473e-10
Episode 127, Total Reward: 1.6025386839517761, Policy Loss: 0.5759258270263672, Alpha Loss: 7.76560427073747e-10
Episode 128, Total Reward: 41.24361844971298, Policy Loss: 4.120498180389404, Alpha Loss: 7.463818452180249e-10
Episode 129, Total Reward: 140.54309371663635, Policy Loss: 4.962798118591309, Alpha Loss: 7.267752510919934e-10
Episode 130, Total Reward: 171.6261580296146, Policy Loss: 3.2225866317749023, Alpha Loss: 7.041125460460762e-10
Episode 131, Total Reward: 173.1004587859915, Policy Loss: 3.8060736656188965, Alpha Loss: 6.885065850781302e-10
Episode 132, Total Reward: 25.528651722089787, Policy Loss: 3.447573184967041, Alpha Loss: 6.68392619029845e-10
Episode 133, Total Reward: 131.2899261821083, Policy Loss: 3.9104714393615723, Alpha Loss: 6.491269743946759e-10
Episode 134, Total Reward: 10.029136962718727, Policy Loss: 5.944855213165283, Alpha Loss: 6.312428912913504e-10
Episode 135, Total Reward: 49.93145489762493, Policy Loss: 5.375035762786865, Alpha Loss: 6.132574448258765e-10
Episode 136, Total Reward: 212.72620268620267, Policy Loss: 5.807021141052246, Alpha Loss: 6.017986664552666e-10
Episode 137, Total Reward: -329.29656905465697, Policy Loss: 5.455111980438232, Alpha Loss: 5.909061573383667e-10
Episode 138, Total Reward: 20.756987394431626, Policy Loss: 4.80574369430542, Alpha Loss: 5.731793928376305e-10
Episode 139, Total Reward: -27.507700837725924, Policy Loss: 6.357746601104736, Alpha Loss: 5.629582355837215e-10
Episode 140, Total Reward: 176.14201416186492, Policy Loss: 4.837278366088867, Alpha Loss: 5.502014399638711e-10
Episode 141, Total Reward: 148.778789334026, Policy Loss: 6.44340705871582, Alpha Loss: 5.363572919137027e-10
Episode 142, Total Reward: 191.7020969246987, Policy Loss: 6.205859661102295, Alpha Loss: 5.267464242564301e-10
Episode 143, Total Reward: 187.382898763602, Policy Loss: 4.80569314956665, Alpha Loss: 5.186771567800008e-10
Episode 144, Total Reward: 28.247195090639703, Policy Loss: 1.927236557006836, Alpha Loss: 5.098765298860997e-10
Episode 145, Total Reward: 36.4022626173202, Policy Loss: 7.125063896179199, Alpha Loss: 5.004234249206263e-10
Episode 146, Total Reward: 198.69480808214485, Policy Loss: 6.056914806365967, Alpha Loss: 4.853789037362333e-10
Episode 147, Total Reward: 181.2559057421496, Policy Loss: 5.870368957519531, Alpha Loss: 4.804273645575563e-10
Episode 148, Total Reward: 35.00459143334009, Policy Loss: 4.16424036026001, Alpha Loss: 4.689369448307446e-10
Episode 149, Total Reward: 30.094784055141684, Policy Loss: 6.164909839630127, Alpha Loss: 4.60693594384054e-10
Episode 150, Total Reward: 172.23535916675502, Policy Loss: 3.637766122817993, Alpha Loss: 4.5206186016777394e-10
Episode 151, Total Reward: 193.56684308981897, Policy Loss: 3.510671615600586, Alpha Loss: 4.4626477513354246e-10
Episode 152, Total Reward: 40.637628318466646, Policy Loss: 3.84419584274292, Alpha Loss: 4.36380653834334e-10
Episode 153, Total Reward: 226.08899572984512, Policy Loss: 1.181705117225647, Alpha Loss: 4.320293567339206e-10
Episode 154, Total Reward: 198.08829553652865, Policy Loss: 1.9562970399856567, Alpha Loss: 4.272798503901498e-10
Episode 155, Total Reward: 176.14104883936557, Policy Loss: 2.1923999786376953, Alpha Loss: 4.2179734704994587e-10
Episode 156, Total Reward: 199.9413243135031, Policy Loss: 5.392836570739746, Alpha Loss: 4.148414667337619e-10
Episode 157, Total Reward: 6.359021415266372, Policy Loss: 3.468292474746704, Alpha Loss: 4.083391680342885e-10
Episode 158, Total Reward: 212.2644278587557, Policy Loss: 3.839254379272461, Alpha Loss: 4.033851030982305e-10
Episode 159, Total Reward: 1.7223700523304568, Policy Loss: 4.713075637817383, Alpha Loss: 3.992791652862593e-10
Episode 160, Total Reward: 228.367836674956, Policy Loss: 3.375944137573242, Alpha Loss: 3.9370756654832917e-10
Episode 161, Total Reward: -62.23670961383726, Policy Loss: 0.6320855617523193, Alpha Loss: 3.8887276732069154e-10
Episode 162, Total Reward: 62.842481498525515, Policy Loss: 0.4644707441329956, Alpha Loss: 3.791080227522059e-10
Episode 163, Total Reward: 192.5140366331014, Policy Loss: 1.7115474939346313, Alpha Loss: 3.7639596994765157e-10
Episode 164, Total Reward: -2.5757458348556583, Policy Loss: 1.6919355392456055, Alpha Loss: 3.6807509817826656e-10
Episode 165, Total Reward: 234.51294505721876, Policy Loss: -0.09398472309112549, Alpha Loss: 3.653017610627529e-10
Episode 166, Total Reward: 210.15272177813955, Policy Loss: 2.495814323425293, Alpha Loss: 3.623094879667832e-10
Episode 167, Total Reward: 51.70550851865798, Policy Loss: 2.262589931488037, Alpha Loss: 3.56212781493781e-10
Episode 168, Total Reward: -38.25734458479663, Policy Loss: 2.178798198699951, Alpha Loss: 3.4973912654834294e-10
Episode 169, Total Reward: -3.855691411873842, Policy Loss: 2.7471072673797607, Alpha Loss: 3.4327357623098465e-10
Episode 170, Total Reward: 259.097274655739, Policy Loss: 3.3525853157043457, Alpha Loss: 3.4304112328520375e-10
Episode 171, Total Reward: 253.78238979204764, Policy Loss: 2.4578561782836914, Alpha Loss: 3.41182915253313e-10
Episode 172, Total Reward: 251.91955481073194, Policy Loss: 2.5988731384277344, Alpha Loss: 3.374838741798669e-10
Episode 173, Total Reward: 18.669847899603887, Policy Loss: 4.69057035446167, Alpha Loss: 3.3116981379421873e-10
Episode 174, Total Reward: 231.12777821585624, Policy Loss: 3.1612207889556885, Alpha Loss: 3.3186561831932693e-10
Episode 175, Total Reward: 234.77509971846234, Policy Loss: 0.7375305891036987, Alpha Loss: 3.2626140678004845e-10
Episode 176, Total Reward: 221.9167743907109, Policy Loss: 3.68396258354187, Alpha Loss: 3.2766506175008203e-10
Episode 177, Total Reward: 42.44120366188802, Policy Loss: -1.2703808546066284, Alpha Loss: 3.2253558157613327e-10
Episode 178, Total Reward: 215.44145674796536, Policy Loss: 0.9506334662437439, Alpha Loss: 3.189959130178721e-10
Episode 179, Total Reward: 215.52730689212146, Policy Loss: -0.749811053276062, Alpha Loss: 3.165220863188267e-10
Episode 180, Total Reward: 69.25090942237148, Policy Loss: 3.835800886154175, Alpha Loss: 3.1179980819473485e-10
Episode 181, Total Reward: 226.95732228643126, Policy Loss: 3.1904232501983643, Alpha Loss: 3.0865604516705503e-10
Episode 182, Total Reward: 36.372100725517406, Policy Loss: 3.741934061050415, Alpha Loss: 3.0365190917258644e-10
Episode 183, Total Reward: 226.88048903620552, Policy Loss: -0.2350558042526245, Alpha Loss: 3.0100549830436307e-10
Episode 184, Total Reward: -3.517111762695107, Policy Loss: 0.6714358925819397, Alpha Loss: 2.967711076884427e-10
Episode 185, Total Reward: 233.0612873263727, Policy Loss: 1.5656238794326782, Alpha Loss: 2.937535770186628e-10
Episode 186, Total Reward: 227.22622085674993, Policy Loss: -1.6748673915863037, Alpha Loss: 2.92429802595251e-10
Episode 187, Total Reward: 251.34883778094522, Policy Loss: 0.9869531989097595, Alpha Loss: 2.903060014602943e-10
Episode 188, Total Reward: 247.9711432819019, Policy Loss: 0.7178702354431152, Alpha Loss: 2.8879018620919794e-10
Episode 189, Total Reward: 1.962900030990065, Policy Loss: -0.7706325054168701, Alpha Loss: 2.8704089105602293e-10
Episode 190, Total Reward: 233.20244199095694, Policy Loss: 0.1234685629606247, Alpha Loss: 2.8321897604932644e-10
Episode 191, Total Reward: 259.63768022979133, Policy Loss: -1.5875358581542969, Alpha Loss: 2.8317354017204366e-10
Episode 192, Total Reward: 3.393006355642969, Policy Loss: -0.08027106523513794, Alpha Loss: 2.7844282435296464e-10
Episode 193, Total Reward: 213.23405084778423, Policy Loss: -0.4020425081253052, Alpha Loss: 2.7802404822807603e-10
Episode 194, Total Reward: 26.922202813778213, Policy Loss: 0.22218088805675507, Alpha Loss: 2.7330368523870163e-10
Episode 195, Total Reward: 273.3016965148789, Policy Loss: -2.0992517471313477, Alpha Loss: 2.730745629619946e-10
Episode 196, Total Reward: 36.15654053347856, Policy Loss: -2.0171756744384766, Alpha Loss: 2.691952216693494e-10
Episode 197, Total Reward: -7.753822048328024, Policy Loss: -2.7382588386535645, Alpha Loss: 2.6583596435258983e-10
Episode 198, Total Reward: 67.44774638758024, Policy Loss: -4.572790145874023, Alpha Loss: 2.603701698689065e-10
Episode 199, Total Reward: 56.23625684805456, Policy Loss: -4.811543941497803, Alpha Loss: 2.6070559600022136e-10
Episode 200, Total Reward: 240.848319864997, Policy Loss: -3.4066321849823, Alpha Loss: 2.5715282681026963e-10
Episode 201, Total Reward: 233.05658752456202, Policy Loss: -4.588654518127441, Alpha Loss: 2.5590526919749834e-10
Episode 202, Total Reward: 127.75342055111929, Policy Loss: -4.492308616638184, Alpha Loss: 2.533988296971046e-10
Episode 203, Total Reward: 61.560386397081395, Policy Loss: -3.799017906188965, Alpha Loss: 2.505314289358296e-10
Episode 204, Total Reward: 209.95870910643586, Policy Loss: -2.714003086090088, Alpha Loss: 2.4798046949214836e-10
Episode 205, Total Reward: 271.9640090133779, Policy Loss: -4.593362331390381, Alpha Loss: 2.4738355808295864e-10
Episode 206, Total Reward: 5.5546612450774, Policy Loss: -3.2384328842163086, Alpha Loss: 2.4486998539963167e-10
Episode 207, Total Reward: -26.335259278791735, Policy Loss: -5.5973920822143555, Alpha Loss: 2.4169818924058006e-10
Episode 208, Total Reward: 251.58188090937404, Policy Loss: -4.795706272125244, Alpha Loss: 2.408152843802469e-10
Episode 209, Total Reward: 240.11323463626664, Policy Loss: -4.770614147186279, Alpha Loss: 2.394076603629003e-10
Episode 210, Total Reward: 72.41721198538531, Policy Loss: -7.07655143737793, Alpha Loss: 2.36973829448317e-10
Episode 211, Total Reward: 267.131185555233, Policy Loss: -4.654537677764893, Alpha Loss: 2.360840412052312e-10
Episode 212, Total Reward: 29.58284631823493, Policy Loss: -5.29757022857666, Alpha Loss: 2.3326984788241134e-10
Episode 213, Total Reward: 250.9945351036319, Policy Loss: -2.476431369781494, Alpha Loss: 2.3107930846588687e-10
Episode 214, Total Reward: 35.655111165884804, Policy Loss: -5.199437141418457, Alpha Loss: 2.2815753453198084e-10
Episode 215, Total Reward: 13.205844467808555, Policy Loss: -6.944049835205078, Alpha Loss: 2.2717489001067293e-10
Episode 216, Total Reward: 251.52389037238325, Policy Loss: -6.21938419342041, Alpha Loss: 2.2588078629759423e-10
Episode 217, Total Reward: 232.4910392448494, Policy Loss: -6.009322166442871, Alpha Loss: 2.2590457282589682e-10
Episode 218, Total Reward: 186.6052138416282, Policy Loss: -8.35142707824707, Alpha Loss: 2.222928785489131e-10
Episode 219, Total Reward: 233.44203269819283, Policy Loss: -4.805095672607422, Alpha Loss: 2.219797679003932e-10
Episode 220, Total Reward: 72.37939930028334, Policy Loss: -6.105963706970215, Alpha Loss: 2.1988977305653634e-10
Episode 221, Total Reward: 44.75878711078716, Policy Loss: -7.6912689208984375, Alpha Loss: 2.172281382550878e-10
Episode 222, Total Reward: 222.03248545036743, Policy Loss: -6.426581382751465, Alpha Loss: 2.1565171870463473e-10
Episode 223, Total Reward: 278.6687578005718, Policy Loss: -6.810622215270996, Alpha Loss: 2.1369772618129446e-10
Episode 224, Total Reward: 251.3376256229113, Policy Loss: -7.674502849578857, Alpha Loss: 2.1312021591946007e-10
Episode 225, Total Reward: 67.09782417879897, Policy Loss: -6.635231018066406, Alpha Loss: 2.1053678245230856e-10
Episode 226, Total Reward: 19.529001767971224, Policy Loss: -6.503761291503906, Alpha Loss: 2.0948809353882325e-10
Episode 227, Total Reward: 247.73518471594286, Policy Loss: -6.96394157409668, Alpha Loss: 2.093084455756511e-10
Episode 228, Total Reward: 253.77015525543334, Policy Loss: -7.4934611320495605, Alpha Loss: 2.0803060662988315e-10
Episode 229, Total Reward: 249.36572438120152, Policy Loss: -6.310985565185547, Alpha Loss: 2.0770823949689543e-10
